excel_muni,excel_puesto,db_puesto_id,db_puesto_name,db_municipio_id,creemos,sn,mesas_historicas,confidence,method,status
MARINILLA,COLISEO MUNICIPAL,865,COLISEO MUNICIPAL,22,297,85,23,100,exact,ok
MARINILLA,ESC. NORMAL SUP RAFAEL M. GIR,866,ESC. NORMAL SUP RAFAEL M. GIR,22,336,90,23,100,exact,ok
MARINILLA,SIMONA DUQUE SECUNDARIA IE TEC INDUST.,867,"SIMONA DUQUE SECUNDARIA IE TEC
INDUST.",22,350,87,28,100,exact,ok
MARINILLA,COLEGIO NACIONAL SAN JOSE,868,COLEGIO NACIONAL SAN JOSE,22,367,73,26,100,exact,ok
MARINILLA,IE ROMAN GOMEZ SD PRIMARIA ESCUELA ROJA,869,"IE ROMAN GOMEZ SD PRIMARIA ESCUELA
ROJA",22,251,74,24,100,exact,ok
MARINILLA,PRIMARIA ESCUELA AZUL IE TEC INDUSTRIAL,870,PRIMARIA ESCUELA AZUL IE TEC INDUSTRIAL,22,219,83,21,100,exact,ok
MARINILLA,COREDI,871,COREDI,22,126,57,12,100,exact,ok
MARINILLA,I.E.R. ROSALIA HOYOS,872,I.E.R. ROSALIA HOYOS,22,19,8,2,100,exact,ok
MONTEBELLO,COLISEO MUNICIPAL,873,COLISEO MUNICIPAL,66,122,27,19,100,exact,ok
MONTEBELLO,C.E.R SABALETAS,874,C.E.R SABALETAS,66,8,2,1,100,exact,ok
MONTEBELLO,C.E.R EL CARMELO,875,C.E.R EL CARMELO,66,0,1,1,100,exact,ok
MURINDO,I.E MURINDO,876,I.E MURINDO,107,2,0,2,100,exact,ok
MUTATA,I.E MUTATA,880,I.E MUTATA,108,40,23,25,100,exact,ok
MUTATA,C.E.R PAVARANDOCITO,881,C.E.R PAVARANDOCITO,108,0,1,1,100,exact,ok
MUTATA,C.E.R LA MILAGROSA,882,C.E.R LA MILAGROSA,108,4,1,2,100,exact,ok
MUTATA,PLACA POLIDEPORTIVA PAVARANDOGRANDE,883,C.E.R PAVARANDOGRANDE,108,2,5,3,83.33333333333333,fuzzy_review,needs_review
MUTATA,I.E.R. LA INMACULADA CAUCHERAS,884,I.E.R. LA INMACULADA CAUCHERAS,108,7,10,5,100,exact,ok
NARIÑO,SD PRIMARIA I.E INMACULADA CONCEPCION,885,SD PRIMARIA I.E INMACULADA CONCEPCION,23,35,15,17,100,exact,ok
NARIÑO,SD PRINCIPAL C.E.R. UVITAL,887,SD PRINCIPAL C.E.R. UVITAL,23,2,0,1,100,exact,ok
NARIÑO,COLISEO DAVID CIFUENTES,888,COLISEO DAVID CIFUENTES,23,2,3,3,100,exact,ok
NARIÑO,SD PRINCIPAL C.E.R. EL CARMELO,889,SD PRINCIPAL C.E.R. EL CARMELO,23,1,2,1,100,exact,ok
NECHI,SD PRINCIPAL I.E. NECHI,892,SD PRINCIPAL I.E. NECHI,117,96,38,38,100,exact,ok
NECHI,ESCUELA URBANA I.E. NECHI,893,ESCUELA URBANA I.E. NECHI,117,1,0,1,100,exact,ok
NECHI,I.E.R. TRINIDAD ARRIBA - SAN PABLO ABAJO,894,I.E.R. TRINIDAD ARRIBA - SAN PABLO ABAJO,117,3,2,3,100,exact,ok
NECHI,BIJAGUAL I.E. JORGE ELICER GAITAN,895,BIJAGUAL I.E. JORGE ELICER GAITAN,117,0,1,1,100,exact,ok
NECHI,I. E. COLORADO,896,I. E. COLORADO,117,26,2,5,100,exact,ok
NECHI,I.E.R. LA CONCHA,897,I.E.R. LA CONCHA,117,4,6,4,100,exact,ok
NECHI,I. E. LAS FLORES,898,I. E. LAS FLORES,117,6,3,2,100,exact,ok
NECHI,LOS CARGUEROS I.E. JORGE ELICER GAITAN,899,LOS CARGUEROS I.E. JORGE ELICER GAITAN,117,0,2,1,100,exact,ok
NECOCLI,I.E ANTONIO ROLDAN BETANCUR,900,I.E ANTONIO ROLDAN BETANCUR,109,70,60,46,100,exact,ok
NECOCLI,I.E.R LAS CHANGAS,903,I.E.R LAS CHANGAS,109,5,10,6,100,exact,ok
NECOCLI,I.E.R. TULAPITA,904,I.E.R. TULAPITA,109,0,2,1,100,exact,ok
NECOCLI,I.E.R EL MELLITO,905,I.E.R EL MELLITO,109,5,8,6,100,exact,ok
NECOCLI,I.E.R EL TOTUMO,906,I.E.R EL TOTUMO,109,8,14,10,100,exact,ok
NECOCLI,I.E.R MELLO VILLAVICENCIO,907,I.E.R MELLO VILLAVICENCIO,109,4,0,2,100,exact,ok
NECOCLI,I.E.R MULATOS,908,I.E.R MULATOS,109,1,1,2,100,exact,ok
NECOCLI,I.E.R PUEBLO NUEVO,909,I.E.R PUEBLO NUEVO,109,7,5,7,100,exact,ok
