motivo,excel_muni,excel_puesto,creemos,sn,mesas_historicas,note
municipio_not_found,PUERTO NARE-LA MAGDALENA,I E CARLOS A DUQUE R SECC PRIMARIA,152,20,19,Municipio 'PUERTO NARE-LA MAGDALENA' not found in DB
municipio_not_found,PUERTO NARE-LA MAGDALENA,C.E.R. EL DELIRIO,6,0,1,Municipio 'PUERTO NARE-LA MAGDALENA' not found in DB
municipio_not_found,PUERTO NARE-LA MAGDALENA,I.E.R. LA SIERRA,36,26,12,Municipio 'PUERTO NARE-LA MAGDALENA' not found in DB
municipio_not_found,PUERTO NARE-LA MAGDALENA,I.E.R. LA UNION,35,1,2,Municipio 'PUERTO NARE-LA MAGDALENA' not found in DB
municipio_not_found,PUERTO NARE-LA MAGDALENA,C.E.R. LA ARABIA,7,1,1,Municipio 'PUERTO NARE-LA MAGDALENA' not found in DB
municipio_not_found,PUERTO NARE-LA MAGDALENA,I.E.JORGE ENRIQUE VILLEGAS,5,1,2,Municipio 'PUERTO NARE-LA MAGDALENA' not found in DB
low_confidence,SAN FRANCISCO,CENTRO DE DESARROLLO INFANTIL,29,11,15,Best match: 'COLISEO CASA DE LA CULTURA' score=43.63636363636363
ambiguous_split,ENVIGADO,SECRETARIA DE OBRAS PUBLICAS DE ENVIGADO,369,261,40,"Ambiguous: ['COL LA SALLE DE ENVIGADO', 'IE COMERCIAL DE ENVIGADO'] scores=[62.857142857142854, 62.857142857142854]"
ambiguous_split,SONSON,SD 2 I.E. TECNICO INDUSTRIAL,65,16,10,"Ambiguous: ['C.E.R CAUNZAL LOS MEDIOS', 'C.E.R SAN MIGUEL'] scores=[50.0, 45.45454545454545]"
